日付,時間,測定回数,装置id,温度,湿度,light(ルクス),電圧
2004-03-11,09:33:57.524958,35592,54,25.4862,28.3305,1847.36,2.56
2004-03-11,09:33:57.984962,35592,53,25.1432,29.08,1729.6,2.56
2004-03-11,09:33:58.30442,35592,29,24.467,30.7486,566.72,2.54901
2004-03-11,09:33:58.547643,35592,6,23.7712,31.1727,1258.56,2.50599
2004-03-11,09:33:58.807421,35592,37,23.5654,35.0915,1435.2,2.53812
2004-03-11,09:33:59.178184,2439,2,23.1244,33.5604,478.4,2.51661
2004-03-11,09:33:59.445853,35592,14,22.4972,34.536,323.84,2.54901
2004-03-11,09:33:59.675741,35592,1,22.5854,32.8608,537.28,2.54901
2004-03-11,09:33:59.98175,35592,34,22.3502,34.536,1847.36,2.50599
2004-03-11,09:34:00.358536,35592,4,23.3694,32.44,368.0,2.52732
2004-03-11,09:34:01.044716,35592,31,24.2808,31.6664,1670.72,2.56
2004-03-11,09:34:01.346984,35592,9,26.4564,27.4709,1847.36,2.62796
2004-03-11,09:34:01.627859,2445,7,23.6242,31.0314,250.24,2.54901
2004-03-11,09:34:01.901389,35592,10,24.7904,30.5363,596.16,2.54901
2004-03-11,09:34:02.214681,35592,40,22.3404,34.188,964.16,2.51661
2004-03-11,09:34:02.538329,2446,11,22.4384,34.8487,1552.96,2.51661
2004-03-11,09:34:26.600734,35593,31,24.3788,31.5254,1670.72,2.56
2004-03-11,09:34:26.904237,35593,53,25.153,29.0444,1729.6,2.56
2004-03-11,09:34:27.178949,35593,1,22.5168,32.9308,537.28,2.54901
2004-03-11,09:34:27.485393,35593,6,23.781,31.208,1258.56,2.51661
2004-03-11,09:34:28.009225,35593,9,26.4564,27.5426,1847.36,2.62796
2004-03-11,09:34:28.288813,35593,40,22.3404,34.188,964.16,2.52732
2004-03-11,09:34:28.61694,35593,13,21.5172,36.8183,1081.92,2.50599
2004-03-11,09:34:28.914435,35593,54,25.496,28.3305,1847.36,2.56
2004-03-11,09:34:29.433682,2440,2,23.1244,33.5604,478.4,2.51661
2004-03-11,09:34:29.697522,35593,4,23.3106,32.6154,368.0,2.51661
2004-03-11,09:34:30.375017,35593,52,25.8194,27.8294,294.4,2.54901
2004-03-11,09:34:30.977808,35593,34,22.3894,34.5012,1847.36,2.51661
2004-03-11,09:34:31.242225,35593,33,22.6442,33.4905,1199.68,2.54901
2004-03-11,09:34:32.123325,35593,10,24.7904,30.5363,596.16,2.54901
2004-03-11,09:34:56.540798,35594,6,23.7124,31.3139,1258.56,2.49546
2004-03-11,09:34:57.001256,35594,53,25.1824,29.0444,1729.6,2.56
2004-03-11,09:34:57.112814,2435,26,25.8194,29.4717,1494.08,2.57108
2004-03-11,09:34:58.076948,35594,31,24.4376,31.4197,1670.72,2.56
2004-03-11,09:34:58.39593,35594,4,23.291,32.6505,353.28,2.51661
2004-03-11,09:34:59.221088,35594,13,21.5564,36.7495,1081.92,2.48502
2004-03-11,09:34:59.555009,35594,29,24.4572,30.8194,566.72,2.54901
2004-03-11,09:34:59.800514,35594,9,26.4564,27.5426,1847.36,2.62796
2004-03-11,09:35:00.32167,35594,54,25.496,28.3305,1847.36,2.56
2004-03-11,09:35:00.612247,35594,33,22.5756,33.4905,1199.68,2.54901
2004-03-11,09:35:01.479363,35594,40,22.3404,34.188,964.16,2.51661
2004-03-11,09:35:01.535,35594,37,23.5556,35.0568,1199.68,2.53812
2004-03-11,09:35:02.128038,35594,52,25.8194,27.9011,294.4,2.56
2004-03-11,09:35:02.198089,35594,42,21.625,35.5418,625.6,2.51661
2004-03-11,09:35:03.35232,2446,8,25.7018,27.5426,1847.36,2.57108
2004-03-11,09:35:03.750985,35594,1,22.4972,33.1759,537.28,2.53812
2004-03-11,09:35:04.059583,2448,11,22.4776,34.7445,1552.96,2.51661
2004-03-11,09:35:04.408713,35594,10,24.8296,30.4301,596.16,2.54901
2004-03-11,09:35:04.717223,35594,14,22.5364,34.6055,323.84,2.54901
2004-03-11,09:35:26.861906,35595,31,24.418,31.4902,1611.84,2.56
2004-03-11,09:35:27.380996,35595,3,21.8014,34.675,412.16,2.53812
2004-03-11,09:35:27.546163,35595,13,21.5368,36.8183,1081.92,2.49546
2004-03-11,09:35:28.09643,35595,39,23.438,33.3507,412.16,2.54901
2004-03-11,09:35:28.79321,35595,9,26.4172,27.6144,1847.36,2.62796
2004-03-11,09:35:29.189253,35595,29,24.4278,30.8901,441.6,2.53812
2004-03-11,09:35:29.306074,2448,7,23.3008,31.7368,250.24,2.53812
2004-03-11,09:35:30.135917,35595,6,23.7124,31.3139,1258.56,2.50599
2004-03-11,09:35:30.618838,35595,37,23.4674,35.2648,1435.2,2.53812
2004-03-11,09:35:31.014956,35595,33,22.5364,33.6651,1199.68,2.54901
2004-03-11,09:35:31.299049,35595,1,22.4384,33.2108,537.28,2.53812
2004-03-11,09:35:31.879026,35595,10,24.8198,30.4655,596.16,2.54901
2004-03-11,09:35:32.553327,35595,4,23.2616,32.7206,368.0,2.51661
2004-03-11,09:35:33.096678,35595,42,21.625,35.5072,625.6,2.51661
2004-03-11,09:35:34.218091,35595,23,30.8566,21.5839,353.28,2.61639
2004-03-11,09:35:35.137829,35595,54,25.5254,28.2948,1847.36,2.54901
2004-03-11,09:35:36.288337,2442,32,21.478,36.2328,1729.6,2.51661
2004-03-11,09:35:36.877206,35595,40,22.3502,34.188,964.16,2.51661
2004-03-11,09:35:56.76051,35596,1,22.4678,33.0709,537.28,2.53812
2004-03-11,09:35:57.314183,35596,39,23.438,33.3507,382.72,2.54901
2004-03-11,09:35:57.82356,35596,40,22.3796,34.1184,964.16,2.51661
2004-03-11,09:35:57.917833,35596,6,23.6732,31.4549,1258.56,2.50599
2004-03-11,09:35:58.473474,2443,32,21.8112,35.611,1729.6,2.51661
2004-03-11,09:35:58.899422,35596,31,24.32,31.5959,1670.72,2.54901
2004-03-11,09:35:58.914246,35596,9,26.4466,27.6144,1847.36,2.63964
2004-03-11,09:35:59.474544,2443,2,23.0656,33.6302,478.4,2.51661
2004-03-11,09:36:00.030321,35596,29,24.4474,30.8547,456.32,2.54901
2004-03-11,09:36:00.582189,35596,3,21.674,35.0222,412.16,2.54901
2004-03-11,09:36:01.36161,35596,33,22.5952,33.6302,1199.68,2.54901
2004-03-11,09:36:01.677934,35596,14,22.556,34.675,323.84,2.54901
2004-03-11,09:36:02.436876,35596,34,22.3894,34.536,1847.36,2.50599
2004-03-11,09:36:02.922653,35596,13,21.5368,36.8527,1081.92,2.49546
2004-03-11,09:36:03.318733,35596,37,23.5164,35.2302,1435.2,2.53812
2004-03-11,09:36:04.174402,35596,10,24.8002,30.5363,596.16,2.54901
2004-03-11,09:36:05.186383,35596,54,25.5156,28.3305,1847.36,2.54901
2004-03-11,09:36:06.68915,35596,4,23.193,32.9308,368.0,2.51661
2004-03-11,09:36:26.614876,35597,31,24.3788,31.5254,1670.72,2.54901
2004-03-11,09:36:27.45444,35597,6,23.7222,31.4549,1258.56,2.49546
2004-03-11,09:36:28.965221,35597,40,22.4188,34.0487,964.16,2.51661
2004-03-11,09:36:29.562133,35597,53,25.202,29.0444,1729.6,2.56
2004-03-11,09:36:29.987815,2450,27,26.2996,27.9369,143.52,2.57108
2004-03-11,09:36:30.292863,35597,14,22.5658,34.675,323.84,2.53812
2004-03-11,09:36:30.610997,35597,39,23.3204,33.7349,412.16,2.54901
2004-03-11,09:36:31.351195,35597,37,23.4478,35.2995,1435.2,2.52732
2004-03-11,09:36:31.615303,35597,52,25.8586,27.8294,294.4,2.54901
2004-03-11,09:36:32.35443,35597,41,24.4278,29.9691,1140.8,2.53812
2004-03-11,09:36:32.365382,2450,7,23.1342,32.0887,250.24,2.54901
2004-03-11,09:36:33.185364,35597,1,22.4384,33.2108,537.28,2.53812
2004-03-11,09:36:34.092352,35597,33,22.5756,33.6302,1199.68,2.54901
2004-03-11,09:36:34.791408,35597,34,22.4776,34.3969,1847.36,2.51661
2004-03-11,09:36:35.825461,35597,4,23.1342,33.0009,368.0,2.52732
2004-03-11,09:36:36.768971,2449,36,23.3498,34.536,1847.36,2.51661
2004-03-11,09:36:56.526457,35598,3,21.4976,35.3687,412.16,2.53812
2004-03-11,09:36:57.09715,35598,54,25.545,28.2948,1847.36,2.54901
2004-03-11,09:36:57.783868,35598,6,23.683,31.5254,1258.56,2.50599
2004-03-11,09:36:57.786532,35598,22,32.9048,19.4405,1140.8,2.65143
2004-03-11,09:36:58.064045,2451,50,27.9656,24.8363,1847.36,2.60491
2004-03-11,09:36:59.058729,35598,1,22.4188,33.2108,537.28,2.53812
2004-03-11,09:37:00.100772,35598,37,23.438,35.438,1435.2,2.53812
2004-03-11,09:37:00.261962,35598,34,22.3894,34.536,1847.36,2.51661
2004-03-11,09:37:01.050806,35598,31,24.3984,31.6664,1670.72,2.56
2004-03-11,09:37:01.673841,2451,49,25.7312,27.1836,655.04,2.56
2004-03-11,09:37:02.323099,2445,2,22.9774,33.8396,478.4,2.51661
2004-03-11,09:37:03.820986,35598,42,21.6348,35.5764,625.6,2.51661
2004-03-11,09:37:04.076374,35598,39,23.3694,33.5604,412.16,2.53812
2004-03-11,09:37:06.356528,35598,33,22.6148,33.4905,1199.68,2.54901
2004-03-11,09:37:08.639933,35598,13,21.5956,36.8183,1081.92,2.48502
2004-03-11,09:37:10.438921,35598,4,23.0656,33.0709,368.0,2.51661
2004-03-11,09:37:13.080764,35598,9,26.3682,27.7936,1847.36,2.62796
2004-03-11,09:37:26.700668,35599,53,25.1922,29.1157,1729.6,2.56
